7145	12609
7228	12530
7344	12557
7433	12551
7528	12504
7512	12405
7475	12378
7602	12211
7653	12089
7706	11985
7764	11842
7791	11791
7870	11821
7833	11879
7801	11953
7806	12031
7775	12094
7759	12153
7791	12211
7870	12232
7979	12158
7990	12105
7921	12084
7953	12006
7926	11985
7942	11890
8016	11869
8096	11863
8184	11869
8269	11869
8316	11858
8385	11922
8380	12031
8327	12147
8284	12227
8210	12195
8195	12273
8269	12325
8232	12421
8157	12504
8096	12551
8022	12490
7932	12562
7969	12615
8006	12699
7916	12788
7844	12841
7881	12941
7833	12946
7764	12962
7754	12862
7743	12777
7743	12705
7679	12689
7607	12662
7554	12652
7528	12631
7422	12668
7350	12745
7281	12726
7212	12699
7164	12641
7145	12609
