49	Vitry-le-Francois	51649		765.441	2416.401	51	21	1	1	4.585869	48.725820	0	0	0	0	0	0	0	0	0	
50	Langres	52269		824.172	2322.410	52	21	1	1	5.334110	47.862974	0	0	0	0	0	0	0	0	0	
51	Saint Dizier	52448		792.575	2407.539	52	21	1	1	4.949702	48.637285	0	0	0	0	0	0	0	0	0	
52	Beaune	21054		790.180	2227.945	21	26	1	1	4.838270	47.023981	0	0	0	0	0	0	0	0	0	
53	Chatillon-sur-seine	21154		767.419	2320.031	21	26	1	1	4.572844	47.857605	0	0	0	0	0	0	0	0	0	
54	Montbard	21425	21506	750.352	2293.403	21	26	1	1	4.338025	47.625172	0	0	0	0	0	0	0	0	0	
55	Semur en Auxois	21603	21140	750.404	2278.701	21	26	1	1	4.331990	47.490564	0	0	0	0	0	0	0	0	0	
56	Cosne-Cours-sur-Loire	58086		644.535	2268.144	58	26	1	1	2.925291	47.411364	0	0	0	0	0	0	0	0	0	
57	Decize	58095	58300	685.802	2203.851	58	26	1	1	3.455023	46.827141	0	0	0	0	0	0	0	0	0	
58	Autun	71014	71405	749.337	2218.657	71	26	1	1	04°17'58''	46°57'06''	0	0	0	0	0	0	0	0	0	
59	Creusot	71153		760.568	2202.217	71	26	1	1	4.445310	47.377300	0	0	0	0	0	0	0	0	0	
61	Montceau-les-Mines	71306	71230	0755.496	2187.217	71	26	1	1	4.365651	46.675424	0	0	0	0	0	0	0	0	0	
62	Paray le Monial	71342	71600	736.968	2162.773	71	26	1	1	4.123587	46.451736	0	0	0	0	0	0	0	0	0	
63	Avallon	89025		718.431	2277.894	89	26	1	1	3.907983	47.492494	0	0	0	0	0	0	0	0	0	
64	Joigny	89206	89306	679.180	2331.969	89	26	1	1	3.396145	47.985032	0	0	0	0	0	0	0	0	0	
65	Sens	89387	89108	670.389	2355.784	89	26	1	1	3.287177	48.197756	0	0	0	0	0	0	0	0	0	
66	Tonnerre	89418	89700	722.491	2318.585	89	26	1	1	3.974669	47.856492	0	0	0	0	0	0	0	0	0	
67	Chalon sur Saône	71076	71321	791.644	2202.369	71	26	1	1	4.852948	46.784219	0	0	0	0	0	0	0	0	0	
68	Nevers	58194	58033	662.383	2221.737	58	26	1	1	3.161689	46.987110	0	0	0	0	0	0	0	0	0	
69	Paris	75056		600.572	2429.079	0	0	7	1	2.35	48.86	0	0	0	0	0	0	0	0	0	
70	Ludwigshafen (RFA)		67071	0	0	0	999	100	9	8.447	49.481	0	0	0	0	0	0	0	0	0	
77	Lyon	69123		794.845	2087.390	69	0	1	1	4.84	45.76	0	0	0	0	0	0	0	0	0	
78	Lausanne (Suisse)					0	0	0	3	6.632	46.52	0	0	0	0	0	0	0	0	0	
79	Zürich (Suisse)					0	0	0	3	8.54	47.377	0	0	0	0	0	0	0	0	0	
80	Bitche	57089		971.948	2462.460	57	41	1	1	7.423783	49.051033	0	0	0	0	0	0	0	0	0	
81	Sivas (Turquie)		58140	34°45N	37°01E	0	0	0	29	37.018	39.748	0	0	0	0	0	0	0	0	0	
83	Lille	59350		651.121	2626.641	59	0	2	1	3.063	50.637	0	0	0	0	0	0	0	0	0	
89	Marseille			847.033	1815.246	13	0	5	1	5.38	43.3	0	0	0	0	0	0	0	0	0	
90	Toulouse	31555		527.674	1845.128	31	0	0	1	1.44	43.61	0	0	0	0	0	0	0	0	0	
91	Bordeaux	33063		369.377	1986.171	33	0	0	1	-0.58	44.84	0	0	0	0	0	0	0	0	0	
92	Montpellier	34172		724.484	1846.683	34	0	4	1	3.88	43.61	0	0	0	0	0	0	0	0	0	
93	Tours			475.578	2267.192	37	0	0	1	0.69	47.39	0	0	0	0	0	0	0	0	0	
94	Nantes	44109		305.458	2253.682	44	0	3	1	-1.55	47.22	0	0	0	0	0	0	0	0	0	
95	Toulon	83137		892.919	1798.055	83	0	0	1	5.93	43.13	0	0	0	0	0	0	0	0	0	
96	Poitiers					86	0	0	1	0.342648	46.586985	0	0	0	0	0	0	0	0	0	
97	Saint Louis	68297		992.994	2300.378	68	42	1	1	7.560090	47.589575	0	0	0	0	0	0	0	0	0	
98	Thann	68334		956.931	2322.732	68	42	1	1	7.099426	47.812241	25	6	0	4	0	0	0	0	11	
99	OBERNAI	67348		980.382	2397.286	67	42	1	1	7.481955	48.462376	16	5	0	2	7	3	27	0	7	
100	SCHIRMECK	67448		960865	2397860	67	42	1	1	7.218815	48.478604	23	3	0	2	7	3	32	0	5	
101	Altkirch	68004				68	42	1	1	7.239068	47.623296	1	1	0	4	0	0	0	0	1	
102	Cernay	68063	68700	962.266	2323.058	68	42	1	1	7.17666666	47.8072222	3	6	0	4	0	0	0	0	11	
136	Tübingen					0	0	100	9	9.049	48.52	0	0	0	0	0	0	0	0	0	
104	Guebwiller	68112				68	42	1	1	7.213876	47.905712	8	3	0	3	0	0	0	0	3	
105	INGWILLER	67222	67340	977.026	2442.853	67	42	1	1	7.479679	48.873265	4	4	0	1	2	4	20	0	9	
106	Bischwiller	67046	67240	1005.680	2432.901	67	42	1	1	7.860399	48.767117	3	2	0	1	4	2	4	0	4	
107	Pfastatt	68256	68120	971.947	2319.477	68	42	1	1	7.304454	47.768659	27	4	0	4	0	0	0	0	6	
108	Tirana					0	0	0	31	19.833	41.333	0	0	0	0	0	0	0	0	0	
109	Vienne		1090			0	0	0	8	16.345	48.222	0	0	0	0	0	0	0	0	0	
110	Antwerpen		2060			0	0	0	4	4.434	51.222	0	0	0	0	0	0	0	0	0	
111	Bruxelles		1120			0	0	0	4	4.39	50.906	0	0	0	0	0	0	0	0	0	
112	Gent		9000			0	0	0	4	 3.728	51.056	0	0	0	0	0	0	0	0	0	
113	Liège		4000			0	0	0	4	5.572	50.645	0	0	0	0	0	0	0	0	0	
114	Louvain					0	0	0	4	4.704	50.879	0	0	0	0	0	0	0	0	0	
115	Loverval					0	0	0	4	4.468	50.37	0	0	0	0	0	0	0	0	0	
116	Suresnes		92151			92	0	7	1	2.226	48.868	0	0	0	0	0	0	0	0	0	
117	Bâle					0	0	0	3	7.588	47.549	0	0	0	0	0	0	0	0	0	
118	Aachen		52074			0	0	100	9	6.088	50.778	0	0	0	0	0	0	0	0	0	
119	Bochum		44789			0	0	0	9	7.211	51.486	0	0	0	0	0	0	0	0	0	
120	Lübeck					0	0	0	9	10.683	53.866	0	0	0	0	0	0	0	0	0	
121	Hambourg					0	0	0	9	9.99	53.555	0	0	0	0	0	0	0	0	0	
122	Hanovre					0	0	0	9	9.738	52.372	0	0	0	0	0	0	0	0	0	
123	Berlin		00001			0	0	100	9	13.377	52.516	0	0	0	0	0	0	0	0	0	
137	Munich					0	0	0	9	11.578	48.136	0	0	0	0	0	0	0	0	0	
125	Dortmund					0	0	0	9	7.458	51.516	0	0	0	0	0	0	0	0	0	
126	Duisburg					0	0	0	9	6.764	51.431	0	0	0	0	0	0	0	0	0	
127	Cologne					0	0	0	9	6.955	50.942	0	0	0	0	0	0	0	0	0	
128	Gelsenkirchen-Buer					0	0	0	9	7.093	51.511	0	0	0	0	0	0	0	0	0	
129	Hamm		59063			0	0	100	9	 10.05	53.555	0	0	0	0	0	0	0	0	0	
130	Offenbach/Main					0	0	100	9	8.766	50.105	0	0	0	0	0	0	0	0	0	
131	Kassel					0	0	100	9	9.491	51.312	0	0	0	0	0	0	0	0	0	
132	Coblence/Koblenz		00560			0	0	100	9	7.593	50.361	0	0	0	0	0	0	0	0	0	
133	Mayence					0	0	100	9	8.272	50	0	0	0	0	0	0	0	0	0	
134	Stuttgart					0	0	100	9	48.768	9.172	0	0	0	0	0	0	0	0	0	
135	Manheim					0	0	100	9	 8.467	49.486	0	0	0	0	0	0	0	0	0	
138	Murnau/Staffelsee					0	0	100	9	11.201	47.676	0	0	0	0	0	0	0	0	0	
139	Nürnberg					0	0	100	9	11.074	49.454	0	0	0	0	0	0	0	0	0	
140	Halle					0	0	0	9	11.975	51.481	0	0	0	0	0	0	0	0	0	
141	Erfurt					0	0	0	9	11.023	50.978	0	0	0	0	0	0	0	0	0	
142	Leipzig					0	0	100	9	12.386	51.345	0	0	0	0	0	0	0	0	0	
143	Dresde					0	0	0	9	13.728	51.052	0	0	0	0	0	0	0	0	0	
144	Clamart	92023	92140	594.514	2422.483	92	0	7	1	2.26	48.8	0	0	0	0	0	0	0	0	0	
145	Garches		92380			92	0	7	1	2.187414	48.844662	0	0	0	0	0	0	0	0	0	
146	Essen		45122			0	0	0	9	7.011	51.452	0	0	0	0	0	0	0	0	0	
147	Brest					29	0	3	1	-4.486	48.39	0	0	0	0	0	0	0	0	0	
148	SCHILTIGHEIM	67447		999.007	2414.660	67	42	1	1	7.75	48.61	22	6	0	2	6	3	-1	0	10	
149	Longwy	54323		848.095	2507.918	54	41	1	1	5.76	49.52	0	0	0	0	0	0	0	0	0	
150	Gênes / Genova					0	0	0	6	 8.939	44.41	0	0	0	0	0	0	0	0	0	
151	Milan / Milano					0	0	0	6	9.181	45.469	0	0	0	0	0	0	0	0	0	
152	Padoue / Padova					0	0	0	6	 11.873	45.409	0	0	0	0	0	0	0	0	0	
153	Turin / Torino					0	0	0	6	7.698	45.063	0	0	0	0	0	0	0	0	0	
154	Vérone / Verona					0	0	0	6	10.992	45.438	0	0	0	0	0	0	0	0	0	
155	Villingen-Schwenningen		78054			0	0	100	9	8.538	48.062	0	0	0	0	0	0	0	0	0	
156	Karlsruhe					0	0	100	9	8.409	49.01	0	0	0	0	0	0	0	0	0	
157	Freibourg					0	0	100	9	7.530673	47.602513	0	0	0	0	0	0	0	0	0	
158	Brumath	67067	67170			67	42	1	1	7.711174	48.730049	5	6	0	1	4	3	6	0	4	
159	HOERDT	67205	67728			67	42	1	1	7.784577	48.698710	5	6	0	1	6	3	19	0	4	
160	Erstein	67130	67152			67	42	1	1	7.661041	48.422429	7	5	0	2	8	3	12	0	7	
161	Rouffac		68250			68	42	1	1	0	0	0	0	0	0	0	0	0	0	0	
162	Linz					0	0	0	8	14.288	48.304	0	0	0	0	0	0	0	0	0	
163	Bergen		5021			0	0	0	21	5.333	60.391	0	0	0	0	0	0	0	0	0	
164	Graz		8036			0	0	0	8	15.464	47.081	0	0	0	0	0	0	0	0	0	
165	ACHENHEIM	67001		0	0	67	42	1	1	7.627034	48.576979	43	6	0	2	6	3	-1	0	10	
166	ADAMSWILLER	67002		0	0	67	42	1	1	7.201468	48.903893	6	4	0	1	1	4	10	0	9	
167	ALBE	67003		0	0	67	42	1	1	7.317717	48.356531	32	5	0	3	9	5	37	0	7	
168	ALLENWILLER	67004		0	0	67	42	1	1	7.375845	48.655449	13	4	0	1	5	4	7	0	9	
169	ALTENHEIM	67006		0	0	67	42	1	1	7.464272	48.719091	21	4	0	1	5	4	7	0	9	
170	ALTORF	67008		0	0	67	42	1	1	7.527502	48.521718	14	3	0	2	7	3	11	0	5	
171	ALTWILLER	67009		0	0	67	42	1	1	6.979672	48.929420	20	4	0	1	1	4	30	0	9	
172	ANDLAU	67010		0	0	67	42	1	1	7.418051	48.386039	1	5	0	3	8	5	1	0	7	
173	ARTOLSHEIM	67011		0	0	67	42	1	1	7.573172	48.208206	12	5	0	3	9	5	24	0	7	
174	ASCHBACH	67012		0	0	67	42	1	1	7.983434	48.935057	26	7	0	1	3	6	16	0	12	
175	ASSWILLER	67013		0	0	67	42	1	1	7.219976	48.880746	6	4	0	1	1	4	10	0	9	
176	AUENHEIM	67014		0	0	67	42	1	1	7.836657	48.605470	3	2	0	1	4	2	28	0	4	
177	AVOLSHEIM	67016		0	0	67	42	1	1	7.501024	48.562262	14	3	0	2	7	3	12	0	5	
178	BAERENDORF	67017		0	0	67	42	1	1	7.085228	48.837646	6	4	0	1	1	1	51	0	9	
179	BALBRONN	67018		0	0	67	42	1	1	7.437276	48.583717	33	3	0	2	7	3	38	0	9	
180	BALDENHEIM	67019		0	0	67	42	1	1	7.539779	48.237854	12	5	0	3	9	5	35	0	7	
181	BAREMBACH	67020		0	0	67	42	1	1	7.230172	48.477424	23	3	0	2	7	3	32	0	5	
182	BARR	67021		0	0	67	42	1	1	7.448431	48.409436	1	5	0	3	8	5	1	0	7	
183	BASSEMBERG	67022		0	0	67	42	1	1	7.284540	48.334926	32	5	0	3	9	5	37	0	7	
184	BATZENDORF	67023		0	0	67	42	1	1	7.706224	48.783421	9	2	0	1	4	2	22	0	4	
185	BEINHEIM	67025		0	0	67	42	1	1	8.085377	48.864672	25	7	0	1	3	2	34	0	4	
186	BELLEFOSSE	67026		0	0	67	42	1	1	7.215626	48.403033	23	3	0	2	7	3	32	0	5	
