"Rettungswachen des Badischen Roten Kreuzes"							"Stand:"	25/08/2006
						"k:\8.28/RD-Listen-Übersicht\RW im BadRK Stand 200.xls"		
								
"Nr."	"Rettungswache"	"Träger DRK ...."	"Straße"	"PLZ"	"Ort"	"Besetzt-Zeit"	"Telefon"	"Telefax"
"37."	"Löffingen"	"RD Hochschww."	"Bei der Kirche 3"	79843	"Löffingen"	"24.00 - 0.00"	"07654/922165"	"07654-922166"
"38."	"Neustadt"	"RD Hochschww."	"Jostalstr. 10"	79822	"Titisee-Neustadt"	"24.00 - 0.00"	"07651/2003-0"	"07651/2003-13"
"39."	"St. Blasien"	"RD Hochschww."	"Am Kugelrain 2"	79837	"St. Blasien"	"24.00 - 0.00"	"07672/2222"	"07672/2222"
"40."	"Lörrach"	"RD Lörrach gGmbH"	"Spitalstr. 51"	79539	"Lörrach"	"24.00 - 0.00"	"07621/151540"	"07621/151515"
"41."	"Schönau"	"RD Lörrach gGmbH"	"Talstr. 10"	79677	"Schönau"	"24.00 - 0.00"	"07673/7772"	
"42."	"Schopfheim"	"RD Lörrach gGmbH"	"Schwarzwaldstr. 40"	79650	"Schopfheim"	"24.00 - 0.00"	"07622/668025"	
"43."	"Weil am Rhein"	"RD Lörrach gGmbH"	"Riedlistr. 20"	79576	"Weil am Rhein"	"24.00 - 0.00"	"07621/799118"	
"44."	"Zell i.W."	"RD Lörrach gGmbH"	"Schopfheimerstr. 47"	79669	"Zell i. W."	"7.00 - 19.00"	"07625/13523"	
"45."	"Achern"	"RD Mittelbaden gGmbH"	"Josef-Wurzler-Str. 7a"	77855	"Achern"	"24.00 - 0.00"	"07841/21111"	"07841/665965"
"46."	"Baden-Baden"	"RD Mittelbaden gGmbH"	"Schwarzwaldstr. 50"	76532	"Baden-Baden"	"24.00 - 0.00"	"07221/66666"	"07221/802386"
"47."	"Bühl"	"RD Mittelbaden gGmbH"	"Siemensstr. 6"	77815	"Bühl"	"24.00 - 0.00"	"07223/910533"	"07223/910535"
"48."	"Kehl"	"RD Ortenau"	"Kanzmattstr. 4"	77694	"Kehl"	"24.00 - 0.00"	"07851/943330"	"07851/943360"
"49."	"Rheinau"	"RD Ortenau"	"Maiwaldstr. 41"	77866	"Rheinau"	"24.00 - 0.00"	"07844/1222"	
"50."	"Ettenheim"	"RD Ortenau gGmbH"	"Robert-Koch-Str. 15"	77955	"Ettenheim"	"24.00 - 0.00"	19222	
"51."	"Lahr"	"RD Ortenau gGmbH"	"Bottenbrunnenstr. 24"	77933	"Lahr"	"24.00 - 0.00"	19222	
"52."	"Oberkirch"	"RD Ortenau gGmbH"	"Eisenbahnstr. 9 b"	77704	"Oberkirch"	"24.00 - 0.00"	19222	
"53."	"Offenburg"	"RD Ortenau gGmbH"	"Ortenbergerstr. 30"	77654	"Offenburg"	"24.00 - 0.00"	19222	
"54."	"Bad Dürrheim"	"RD Schw.-B.gGmbH"	"Friedrichstr. 26/1"	78073	"Dürrheim"	"24.00 - 0.00"	19222	
"55."	"Königsfeld"	"RD Schw.-B.gGmbH"	"Gartenstr. 9"	78126	"Königsfeld"	"6.00 - 18.00"	19222	
"56."	"Schwenningen"	"RD Schw.-B.gGmbH"	"Alleenstr. 3"	78054	"VS-Schwenningen"	"24.00 - 0.00"	19222	
"57."	"St. Georgen"	"RD Schw.-B.gGmbH"	"Spittelbergstr. 7"	78112	"St. Georgen"	"24.00 - 0.00"	19222	
"58."	"Triberg"	"RD Schw.-B.gGmbH"	"Hornbergerstr. 9"	78098	"Triberg"	"24.00 - 0.00"	19222	
"59."	"Villingen"	"RD Schw.-B.gGmbH"	"Josefsgasse 12"	78050	"VS-Villingen"	"24.00 - 0.00"	19222	
